Bug ID,Product,Comp,Assignee,Status,Resolution,Summary,Opened
116685,gcc,target,unassigned@gcc.gnu.org,UNCO,---,RISC-V: missed optimization on vector dot products,2024-09-11
116536,gcc,testsuit,unassigned@gcc.gnu.org,RESO,DUPL,[15 Regression] gcc.dg/ipa/ipa-icf-38.c: error executing dg-final since r15-3254-g3f51f0dc88e,2024-08-29
115862,gcc,rtl-opti,unassigned@gcc.gnu.org,RESO,FIXE,[15 Regression] RISC-V: ICE during RTL combine pass in malloc.c for zvl512b and zvl1024b,2024-07-10
116303,gcc,target,unassigned@gcc.gnu.org,RESO,INVA,RISC-V: -mcpu doesn't populate .attribute arch string when directly invoking cc1,2024-08-08
116247,gcc,libstdc+,redi@gcc.gnu.org,RESO,FIXE,[15 regression] RISC-V: shared_ptr_atomic.h: uintptr_t not declared in scope since r15-2655-g3a817a4a5a6,2024-08-05
116255,gcc,fortran,unassigned@gcc.gnu.org,RESO,DUPL,[15 only] RISC-V: STOP 12 execution error on gfortran.dg/class_transformational_2.f90,2024-08-06
113913,gcc,target,unassigned@gcc.gnu.org,RESO,FIXE,[14] RISC-V: suboptimal code gen for intrinsic vcreate,2024-02-13
115741,gcc,target,rguenth@gcc.gnu.org,RESO,FIXE,"[15 Regression] RISC-V: ICE in vectorizable_load, at tree-vect-stmts.cc:11524",2024-07-01
114197,gcc,middle-e,rguenth@gcc.gnu.org,RESO,FIXE,[14 regression] ICE in verify_dominators,2024-03-01
115220,gcc,tree-opt,rguenth@gcc.gnu.org,RESO,FIXE,[15 Regression] RISC-V: newlib targets ICE during sink pass triggered in verify_ssa (since r15-815-g5b9b3bae33cae7?),2024-05-24
115166,gcc,target,unassigned@gcc.gnu.org,UNCO,---,RISC-V: flakey relocation truncated to fit: R_RISCV_GPREL_I against `.LANCHOR1' in slp_run-2.c,2024-05-20
114122,gcc,target,unassigned@gcc.gnu.org,UNCO,---,RISC-V: poor code generation in calling convention with vlen > 4096,2024-02-26
113248,gcc,target,unassigned@gcc.gnu.org,RESO,FIXE,RISC-V: Invalid vsetvli fusion using -mtune=generic-ooo,2024-01-06
113073,gcc,target,rguenth@gcc.gnu.org,RESO,FIXE,[14] RISC-V: segfault from out of bounds memory access in gcc.dg/torture/pr112736.c,2023-12-18
111545,gcc,target,unassigned@gcc.gnu.org,RESO,FIXE,[14 Regression] RISC-V gfortran.dg/host_assoc_function_7.f09 Illegal instruction error,2023-09-22
110951,gcc,testsuit,unassigned@gcc.gnu.org,RESO,INVA,[13/14] RISCV: rv32 newlib gcc.c-torture testsuite fails with xgcc: fatal error: Cannot find suitable multilib set for '-march=rv32imafdc_zicsr_zifencei'/'-mabi=ilp32d',2023-08-08
110892,gcc,target,unassigned@gcc.gnu.org,RESO,FIXE,[14 Regression] Risc-V rvv testsuite failures caused by conditional move costing,2023-08-03
116296,gcc ,ipa ,hubicka@gcc.gnu.org ,ASSI ,--- ,"[13/14/15/16 Regression] internal compiler error: in merge, at ipa-modref-tree.cc:176 at -O3 since r12-4227-g44b61586d8640b ",2024-08-08
114665,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,WORK ,[14/15 only] RISC-V rv64gcv: miscompile at -O3 ,2024-04-09
111428,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,WORK ,RISC-V vector: Flaky segfault in {min|max}val_char_{1|2}.f90 ,2023-09-15
111298,gcc ,testsuit ,unassigned@gcc.gnu.org ,RESO ,INVA ,time-profiler-2.c flaky on glibc RISC-V with qemu ,2023-09-05
114261,gcc ,rtl-opti ,unassigned@gcc.gnu.org ,UNCO ,--- ,[13/14/15/16 Regression] Scheduling takes excessive time (97%) since r13-5154-g733a1b777f1 ,2024-03-07
116039,gcc ,rtl-opti ,law@gcc.gnu.org ,RESO ,FIXE ,[15 Regression] rv64gc miscompile at -O3 with -fno-strict-aliasing since r15-1901-g98914f9eba5 ,2024-07-22
117483,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,"[15 Regression] ICE: in merge, at config/riscv/riscv-vsetvl.cc:2106 ",2024-11-07
116036,gcc ,target ,rdapp@gcc.gnu.org ,RESO ,FIXE ,[14/15 only] RISCV: internal compiler error: in riscv_expand_mult_with_const_int with -march=rv64idv ,2024-07-22
116111,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,RISC-V: 'd' extension allowed with -mabi=ilp32e ,2024-07-26
116149,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,RISC-V: Miscompile at -O3 with zvl256b -mrvv-vector-bits=zvl ,2024-07-30
116240,gcc ,target ,law@gcc.gnu.org ,RESO ,FIXE ,RISC-V: ICE during RTL pass: combine with -fwrapv -march=rv64imv_xtheadcondmov_xventanacondops at -O2 ,2024-08-05
117682,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[15 Regression] rv64gcv_zvl256b miscompile since r15-3228-g771256bcb9d ,2024-11-19
118154,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[15 Regression] RISC-V: Miscompile with -march=rv64gcv -O3 since r15-5117-g0b27a7dd050 ,2024-12-20
116256,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[15 Regression] RISC-V: testsuite failures since late-combine-pass ,2024-08-06
113281,gcc ,tree-opt ,rsandifo@gcc.gnu.org ,RESO ,FIXE ,[11 Regression] Latent wrong code due to vectorization of shift reduction and missing promotions since r9-1590 ,2024-01-08
116740,gcc ,c++ ,simartin@gcc.gnu.org ,RESO ,FIXE ,"[12/13/14/15 Regression] ICE: in set_identifier_type_value_with_scope, at cp/name-lookup.cc:5098 ",2024-09-16
115703,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[15 Regression] rv64gcv_zvl256b miscompile since r15-1579-g792f97b44ff ,2024-06-28
118140,gcc ,tree-opt ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[14/15 Regression] ifcvt miscompiles program at -O3 since r14-5076-g01c18f58d37 for riscv and aarch64 (with SVE) ,2024-12-20
111969,gcc ,testsuit ,unassigned@gcc.gnu.org ,RESO ,WORK ,RISC-V rv32gcv: 12 grouped flaky failures ,2023-10-24
116720,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[13/14 Regression] RISC-V: Unrecognizable insn with xtheadmemidx on rv32 ,2024-09-15
116059,gcc ,target ,rdapp@gcc.gnu.org ,RESO ,FIXE ,[14/15 Regression] Miscompile at -O2 since r14-6420-g85c5efcffed ,2024-07-23
116351,gcc ,tree-opt ,unassigned@gcc.gnu.org ,RESO ,FIXE ,"RISC-V ICE: in get_len_load_store_mode, at optabs-tree.cc:664 ",2024-08-12
117506,gcc ,rtl-opti ,jakub@gcc.gnu.org ,RESO ,FIXE ,"[15 Regression] ICE: in decompose, at wide-int.h:1049 with -O3 -funroll-loops ",2024-11-08
115123,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[15 Regression] RISCV vector scan-assembler failures ,2024-05-16
115669,gcc ,tree-opt ,rguenth@gcc.gnu.org ,RESO ,FIXE ,[12 Regression] rv64gcv/aarch64+sve -fwrapv miscompile since r15-1006-gd93353e6423 ,2024-06-26
115375,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[15 Regression] RISCV scan failures since 2024-05-04 ,2024-06-06
116715,gcc ,target ,law@gcc.gnu.org ,RESO ,FIXE ,RISC-V: Miscompile at -O2 with -march=rv64id_zbs ,2024-09-14
118075,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[15 Regression] RISC-V: Miscompile at -O3 zvl 256 since r15-4746-g30435cc2610 ,2024-12-17
118084,gcc ,middle-e ,law@gcc.gnu.org ,RESO ,FIXE ,"[15 Regression] RISC-V: ICE in emit_move_insn, at expr.cc:4635 ",2024-12-17
116347,gcc ,target ,cmuellner@gcc.gnu.org ,RESO ,FIXE ,[13/14/15 only] RISC-V: Duplicate entries for -mtune in --target-help ,2024-08-12
117990,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[15 regression] RISC-V: Miscompile at -O3 zvl 256 since r15-4746-g30435cc2610 ,2024-12-10
117594,gcc ,target ,rguenth@gcc.gnu.org ,RESO ,FIXE ,[14 regression] RISC-V: Miscompile at -O3 since r15-4012-gba7632674a2 ,2024-11-14
115336,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[15] rv64gcv_zvl256b miscompile at -O3 ,2024-06-04
117567,gcc ,tree-opt ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[15 Regression] ICE: segfault during GIMPLE pass: vect ,2024-11-13
117484,gcc ,tree-opt ,rguenth@gcc.gnu.org ,RESO ,FIXE ,[15 Regression] ICE: segfault during GIMPLE pass: vect ,2024-11-07
117486,gcc ,tree-opt ,unassigned@gcc.gnu.org ,RESO ,DUPL ,"[15 Regression] ICE: in vect_build_slp_tree_2, at tree-vect-slp.cc:2027 ",2024-11-07
116655,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,RISC-V: ICE with -mrvv-max-lmul=dynamic in compute_nregs_for_mode ,2024-09-09
115373,gcc ,tree-opt ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[15 Regression] RISCV slp-cond-2-big-array.c slp-cond-2.c scan-tree-dump fails since r15-859-geaaa4b88038 ,2024-06-06
115372,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[15 Regression] RISCV pr97428.c scan-tree-dump-times after r15-812-gc71886f2ca2 ,2024-06-06
116721,gcc ,ipa ,unassigned@gcc.gnu.org ,RESO ,DUPL ,"[15 Regression] ICE: in merge, at ipa-modref-tree.cc:176 ",2024-09-15
116131,gcc ,target ,cmuellner@gcc.gnu.org ,RESO ,FIXE ,[14/15 Regression] RISC-V: Unrecognizable insn with xtheadmemidx on rv32 ,2024-07-29
116152,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,RISC-V: Proposed deprecation of LP64E abi ,2024-07-30
116278,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[15] RISC-V: Miscompile at -O2 -fwrapv -fno-strict-aliasing ,2024-08-08
115142,gcc ,target ,law@gcc.gnu.org ,RESO ,FIXE ,"[14 Regression] Unrecognizable insn in extract_insn, at recog.cc:2812 with -ftree-ter ",2024-05-17
116544,gcc ,rtl-opti ,law@gcc.gnu.org ,RESO ,FIXE ,[15] RISC-V: Miscompile at -O3 ,2024-08-30
115495,gcc ,middle-e ,unassigned@gcc.gnu.org ,RESO ,FIXE ,"[15 Regression] ICE in smallest_mode_for_size, at stor-layout.cc:356 during combine on RISC-V rv64gcv_zvl256b at -O3 since r15-1042-g68b0742a49d ",2024-06-14
116282,gcc ,target ,law@gcc.gnu.org ,RESO ,FIXE ,[15 Regression] RISC-V rv64id_zba_zbkb ICE: could not split insn ,2024-08-08
116280,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[15 Regression] RISC-V: expected mode RVVMF8QI for operand 2 of insn pred_vwsllrvvmf4hi but got mode RVVMF2SI ,2024-08-08
116202,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,RISC-V: Miscompile at -O3 with zvl256b ,2024-08-02
116318,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,INVA ,RISC-V: Miscompile at -O1 with -fwhole-program ,2024-08-09
116283,gcc ,target ,law@gcc.gnu.org ,RESO ,FIXE ,[15 Regression] RISC-V rv64id_zbs ICE: unrecognizable insn ,2024-08-08
115959,gcc ,tree-opt ,rguenth@gcc.gnu.org ,RESO ,FIXE ,[15 Regression] rv64gcv ICE: segfault during GIMPLE pass: vect ,2024-07-16
116033,gcc ,target ,cmuellner@gcc.gnu.org ,RESO ,FIXE ,[14 only] RISC-V: -march=rv64gv_xtheadmemidx generates illegal vse8.v insn ,2024-07-22
116204,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,INVA ,RISC-V: rv32 miscompile at -O0 ,2024-08-03
116197,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,INVA ,"[14/15 only] RISC-V: zvkn does not imply ""v"" extension ",2024-08-02
116150,gcc ,target ,unassigned@gcc.gnu.org ,UNCO ,--- ,RISC-V: Differences between GCC/LLVM ,2024-07-30
116134,gcc ,middle-e ,pinskia@gcc.gnu.org ,RESO ,FIXE ,[15 Regression] ICE: 'verify_gimple' failed since r15-2106-g44fcc1ca11e7ea ,2024-07-29
116085,gcc ,target ,law@gcc.gnu.org ,RESO ,FIXE ,[13/14/15 Regression] RISC-V: Miscompile at -O2 with zbb ,2024-07-25
116035,gcc ,target ,cmuellner@gcc.gnu.org ,RESO ,FIXE ,[14/15 only] RISC-V: -march=rv64g_xtheadmemidx_zba generates illegal lwu insn ,2024-07-22
114196,gcc ,middle-e ,rdapp@gcc.gnu.org ,RESO ,FIXE ,"[13 Regression] Fixed length vector ICE: in vect_peel_nonlinear_iv_init, at tree-vect-loop.cc:9454 ",2024-03-01
114916,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[14/15] RISC-V rv64gcv_zvl256b: miscompile at -O3 with -mrvv-vector-bits=zvl -fwhole-program ,2024-05-01
115143,gcc ,tree-opt ,pinskia@gcc.gnu.org ,RESO ,FIXE ,"[11 Regression] tree check: expected class 'type', have 'exceptional' (error_mark) in useless_type_conversion_p, at gimple-expr.cc:85 ",2024-05-17
114027,gcc ,tree-opt ,rguenth@gcc.gnu.org ,RESO ,FIXE ,[11 Regression] miscompile at `-O3 -fno-vect-cost-model -msse4.2` ,2024-02-21
114734,gcc ,target ,rguenth@gcc.gnu.org ,RESO ,FIXE ,[11 regression] RISC-V rv64gcv_zvl256b miscompile with -flto -O3 -mrvv-vector-bits=zvl since r8-6047-g65dd1346027bb5 ,2024-04-16
113603,gcc ,tree-opt ,jakub@gcc.gnu.org ,RESO ,FIXE ,[12 Regression] ICE Segfault during GIMPLE pass: strlen at -O3 since r12-145 ,2024-01-25
115441,gcc ,c ,unassigned@gcc.gnu.org ,RESO ,DUPL ,Pointer/integer mismatch in __atomic_fetch-* not covered by -Wint-conversion ,2024-06-11
114485,gcc ,tree-opt ,rguenth@gcc.gnu.org ,RESO ,FIXE ,[13 Regression] Wrong code with -O3 -march=rv64gcv on riscv or `-O3 -march=armv9-a` for aarch64 ,2024-03-26
114476,gcc ,tree-opt ,unassigned@gcc.gnu.org ,RESO ,DUPL ,[13/14 Regression] wrong code with -fwrapv -O3 -fno-vect-cost-model (and -march=armv9-a+sve2 on aarch64 and -march=rv64gcv on riscv) ,2024-03-26
115346,gcc ,middle-e ,unassigned@gcc.gnu.org ,RESO ,DUPL ,[15] Volatile load elimination with packed struct bitfields ,2024-06-04
115195,gcc ,c++ ,unassigned@gcc.gnu.org ,RESO ,DUPL ,[12 Regression] Segfault when instantiating template ,2024-05-22
114247,gcc ,ipa ,jamborm@gcc.gnu.org ,RESO ,FIXE ,RISC-V: miscompile at -O3 and IPA SRA ,2024-03-05
114749,gcc ,tree-opt ,rguenth@gcc.gnu.org ,RESO ,FIXE ,"[13 Regression] RISC-V rv64gcv ICE: in vectorizable_load, at tree-vect-stmts.cc ",2024-04-16
114733,gcc ,middle-e ,rguenth@gcc.gnu.org ,RESO ,FIXE ,[13 Regression] Miscompile with -march=rv64gcv -O3 on riscv ,2024-04-16
114666,gcc ,tree-opt ,pinskia@gcc.gnu.org ,RESO ,FIXE ,[14 Regression] Signed single bit comparison miscompile at -O2 ,2024-04-09
114756,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,DUPL ,[14] RISC-V rv32imc miscompile with -fdata-sections ,2024-04-17
114668,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[14] RISC-V rv64gcv: miscompile at -O3 ,2024-04-09
114608,gcc ,debug ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[14 Regression] Undefined reference in output asm with -fipa-reference -fipa-reference-addressable -fsection-anchors -gbtf ,2024-04-05
114671,gcc ,target ,unassigned@gcc.gnu.org ,UNCO ,--- ,[RISC-V] -fvar-tracking -gas-locview-support -ggdb emits a non-constant .uleb128 ,2024-04-10
114396,gcc ,tree-opt ,liuhongt@gcc.gnu.org ,RESO ,FIXE ,[13/14 Regression] Vector: Runtime mismatch at -O2 with -fwrapv since r13-7988-g82919cf4cb2321 ,2024-03-19
114399,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,INVA ,[14] RISC-V rv32i miscompile ,2024-03-20
